Deal ID,투자 받는 회사 (Target / Startup),투자사 (Investor),투자 금액,라운드,사업 섹터,주요 사업부문,기사 날짜,기사 출처,비고,기사 링크
15,앙티브,씨엔티테크,비공개,미공개,Consumer Internet & Fintech,비건 뷰티 브랜드 ‘허스텔러’를 운영하는 뷰티테크 스타트업,2025.12.01,와우테일,,https://wowtale.net/2025/12/01/251241/
16,발토스,"OpenAI 스타트업 펀드, 럭스캐피털, 파운더스펀드",3천만 달러,시드,Biotech & Healthcare,AI를 활용해 생물학적 위협을 조기 탐지하고 백신 및 치료제 개발을 지원하는 플랫폼 개발,2025.12.01,확인 불가,OpenAI의 첫 생물보안 분야 투자,https://wowtale.net/2025/12/01/251259/
17,오비터스,"롯데벤처스, 하나벤처스",30억 원,시리즈A,Consumer Internet & Fintech,"K-유아브랜드의 미국·캐나다·일본 시장에서 초기 브랜딩부터 마케팅, 영업, 리테일까지 전 과정을 직접 수행하는 통합 수출 모델 기반 글로벌 확장 전문 기업",2025.12.01,와우테일,,https://wowtale.net/2025/12/01/251274/
18,쉐어잇,"한국산업은행, 우리벤처파트너스, IBK벤처투자",80억 원,미공개,Consumer Internet & Fintech,대면 이벤트 공간 중개 플랫폼으로 B2B 대관 시장을 선점,2025.12.02,와우테일,,https://wowtale.net/2025/12/02/251297/
19,포트래이,"스틱벤처스, BNH인베스트먼트, 카카오벤처스, 인비저닝파트너스, 본엔젤스벤처파트너스, 펄어비스캐피탈, CKD창업투자",145억 원,시리즈B,Biotech & Healthcare,공간전사체 기반 암 데이터 플랫폼과 AI 분석 기술을 활용한 신약개발,2025.12.02,와우테일,,https://wowtale.net/2025/12/02/251299/
20,블랙포레스트랩스,"세일즈포스 벤처스, 앤드리슨호로위츠, 엔비디아, 노스존, 크레안덤, 얼리버드 VC, 제너럴 카탈리스트, 테마섹, 베인캐피탈 벤처스, 캔바, 피그마",3억 달러,Series B,ICT & Digitalization,AI 이미지 생성 핵심 기술을 개발하고 기업 고객에 맞춤형 상용 서비스를 제공,2025.12.02,버섯돌이(Taehyun Kim),"창업 16개월 만에 유니콘 등극, 누적 투자금 4억 5,000만 달러 이상",https://wowtale.net/2025/12/02/251302/
21,모건,씨엔티테크 제22호 투자조합,비공개,미공개,Consumer Internet & Fintech,빅데이터 기반 O2O 역직구 및 배송대행 플랫폼 ‘투데이(Twoday)’ 운영,2025.12.02,와우테일,,https://wowtale.net/2025/12/02/251312/
22,소프엔티,이녹스,25억 원,미공개,Semiconductor & Industrial,PFAS-free 나노섬유 복합소재 기반 기업,2025.12.02,와우테일,이녹스 오픈이노베이션 프로그램 4기 선정 및 스케일업 TIPS 선정,https://wowtale.net/2025/12/02/251330/
23,부스터즈,SBI인베스트먼트,200억 원,미공개,Consumer Internet & Fintech,데이터 및 AI 기반 마케팅과 커머스 역량을 활용해 글로벌 K-브랜드 생태계 확장에 주력하는 마케팅테크 및 커머스 기업,2025.12.02,FSN,,https://wowtale.net/2025/12/02/251333/
24,뷰노,스마일게이트인베스트먼트,100억 원,전략적 투자,Biotech & Healthcare,의료 인공지능(AI) 기술을 개발하는 기업,2025.12.02,와우테일,영구 전환사채 구조 활용,https://wowtale.net/2025/12/02/251335/
25,그라디움,"퍼스트마크 캐피탈, 유라제오, DST 글로벌 파트너스, 구글 전 CEO 에릭 슈미트, 자비에 니엘, 로돌프 사데, 코렐리아 캐피탈, 앰플리파이 파트너스, 리퀴드2, 드라이스데일 벤처스",7000만 달러,Seed,ICT & Digitalization,음성 AI 기술을 기반으로 실시간 다국어 전사 및 합성 API를 제공하는 스타트업,2025.12.02,버섯돌이(Taehyun Kim),창업 3개월 만에 이례적인 규모의 시드 투자 유치,https://wowtale.net/2025/12/02/251348/
26,레인드롭,"라이트스피드 벤처 파트너스, 피그마 벤처스, 버셀 벤처스, Y컴비네이터",1500만 달러,Seed,ICT & Digitalization,AI 에이전트 모니터링 플랫폼을 제공하여 프로덕션 환경에서 AI 에이전트의 실패를 감지하고 분석,2025.12.02,버섯돌이(Taehyun Kim),"리플릿, 스피크, 클레이 등 AI 기업 창업자들이 엔젤 투자자로 참여",https://wowtale.net/2025/12/02/251352/
27,워커린스페이스,"IMM인베스트먼트, 미래에셋벤처투자, 신한벤처투자, 라구나인베스트먼트, 포스코기술투자",90억 원,프리시리즈A,ICT & Digitalization,궤도상서비싱 및 우주에서의 생산·제조·조립 전문기업,2025.12.03,와우테일,,https://wowtale.net/2025/12/03/251365/
28,에브리심,500글로벌,미공개,시드,ICT & Digitalization,클라우드·AI 기반 엔지니어링 시뮬레이션 솔루션 개발,2025.12.03,와우테일,,https://wowtale.net/2025/12/03/251369/
29,뉴런소프트,"씨엔티테크, 헥토그룹",비공개,미공개,ICT & Digitalization,전자필기 앱 ‘패스노트’를 운영하며 AI 기반 문제 생성 및 저작권 보호 기술을 제공하는 에듀테크 스타트업,2025.12.03,와우테일,,https://wowtale.net/2025/12/03/251376/
30,퍼밋플로우,"액셀, 클라이너 퍼킨스, 펠리시스, 이니셜라이즈드 캐피탈, 알토스 벤처스, 와이콤비네이터",5400만 달러,시리즈B,ICT & Digitalization,AI를 활용해 건설 인허가 프로세스를 자동화하는 플랫폼 제공,2025.12.03,버섯돌이(Taehyun Kim),,https://wowtale.net/2025/12/03/251385/
31,오믈렛,"산업은행, 현대기술투자, BNK투자증권, 현대자동차 제로원",비공개,프리시리즈A,ICT & Digitalization,AI와 수학적 최적화 기술을 결합해 산업의 복잡한 의사결정을 자동화하는 최적화 AI 플랫폼 제공,2025.12.03,와우테일,,https://wowtale.net/2025/12/03/251390/
32,모스,페어 VC,비공개,프리시드 후속,ICT & Digitalization,B2B SaaS 환경에서 인앱 AI 어시스턴트를 제공하여 사용자 온보딩과 기능 학습 효율을 높임,2025.12.04,와우테일,페어 VC의 초기 창업가 액셀러레이터 프로그램 ‘페어X’ 코호트 합류,https://wowtale.net/2025/12/04/251424/
33,안타레스,"샤인 캐피탈, 알트 캐피탈, 카페이네이티드, 피프티쓰리 스테이션스, 인더스트리어스","9,600만 달러",시리즈 B,Semiconductor & Industrial,원격 군사기지 및 극한 환경에 신속 배치 가능한 소형 원자로 개발,2025.12.04,확인 불가,"투자금은 신규 지분 7,100만 달러와 설비·공장 확장·우라늄 조달용 부채 2,500만 달러로 구성",https://wowtale.net/2025/12/04/251461/
34,파로스아이바이오,"DSC인베스트먼트, 컴퍼니케이파트너스, 한국투자파트너스, 한국투자증권, 아주IB투자",190억원,전환사채(CB),Biotech & Healthcare,인공지능 기반 혁신 신약 개발 전문기업,2025.12.04,와우테일,"전환가액 조정 하한선 8000원, 기업가치 최소 1000억원 이상 인정",https://wowtale.net/2025/12/04/251465/
35,코발트랩스,"퍼스트 하모닉, 얼로이 랩스, Y컴비네이터",1100만 달러,시리즈A,Consumer Internet & Fintech,금융기관의 리스크 및 컴플라이언스 업무를 자동화하는 AI 에이전트 플랫폼 제공,2025.12.04,버섯돌이(Taehyun Kim),"투자 주도자는 알리 로우가니, 얼로이 랩스는 전략적 투자자로 참여",https://wowtale.net/2025/12/04/251469/
36,브레보,"제너럴 애틀랜틱, 오클리 캐피탈",5억8300만 달러,미공개,ICT & Digitalization,통합 CRM 플랫폼을 제공하는 고객관계관리(CRM) 업체,2025.12.04,확인 불가,"기업가치 10억 달러 넘어 유니콘 등극, 기존 투자자 파텍은 엑시트",https://wowtale.net/2025/12/04/251474/
37,하비,"안드레센 호로위츠, 원드르코, 티로우프라이스, 세콰이어, 클라이너퍼킨스, 컨빅션, 엘라드 길",1.6억 달러,Series F,ICT & Digitalization,법률 업무 자동화에 특화된 AI 스타트업,2025.12.05,확인 불가,"기업가치 80억 달러 평가, 신규 및 기존 투자자 참여",https://wowtale.net/2025/12/05/251478/
