Deal ID,기사 제목,기사 작성일,LP,운용사,펀드명,펀드규모,펀드유형,투자섹터,조성상태,요약,url
11,"아이디벤처, 넥스트 유니콘 펀드 닻 올렸다",,"모태펀드, 김은섭 대표",아이디벤처스,IDV 글로벌 넥스트 유니콘 펀드,"345억원 규모, 내년 상반기 400억원 규모 멀티클로징 예정",벤처,"Semiconductor & Industrial, Biotech & Healthcare, ETC",멀티클로징,"아이디벤처스는 모태펀드 출자를 기반으로 'IDV 글로벌 넥스트 유니콘 펀드'를 345억원 규모로 신규 결성했으며, 추가 LP 모집을 통해 내년 상반기 400억원 규모 멀티클로징을 추진 중이다. 이번 펀드는 모태펀드 2025 2차 정시 출자사업 넥스트 유니콘 프로젝트 딥테크 분야 위탁운용사 선정에 따른 것이다.",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202512121146266000109650&lcode=00&page=1&svccode=03
12,"'신생 VC' AOA캐피탈, 170억 루키펀드 결성",,"모태펀드, 지자체(예정)",에이오에이캐피탈파트너스,에이오에이 캐즘돌파 투자조합,170억원,벤처,ETC,1차 클로징,"에이오에이캐피탈파트너스가 모태펀드 출자를 바탕으로 170억원 규모의 '에이오에이 캐즘돌파 투자조합'을 결성하고 1차 클로징을 마무리했다. 현재 지자체 출자사업에 지원해 2차 클로징을 준비 중이며, 펀드 규모를 200억원 이상으로 확대할 계획이다.",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202512120853503180109480&lcode=00&page=2&svccode=03
13,"'신생 VC' AOA캐피탈, 170억 루키펀드 결성",,"모태펀드, 지자체(출자사업 지원 중)",에이오에이캐피탈파트너스,에이오에이 캐즘돌파 투자조합,170억원,벤처,ETC,1차 클로징,"에이오에이캐피탈파트너스가 모태펀드 출자를 기반으로 170억원 규모의 '에이오에이 캐즘돌파 투자조합'을 결성하고 1차 클로징을 마무리했다. 현재 지자체 출자사업에 추가 지원해 2차 클로징을 준비 중이며, 펀드 규모를 200억원 이상으로 확대할 계획이다.",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202512120853503180109480&lcode=00&page=3&svccode=03
14,"ES인베스터, '딥테크 주력' 265억 신규 펀드 결성",,"모태펀드, 민간 LP 다수",ES인베스터,이에스12호넥스트테크유니콘펀드,265억원,벤처,"Biotech & Healthcare, ETC",신규결성,ES인베스터가 딥테크 분야 투자를 위한 265억원 규모의 '이에스12호넥스트테크유니콘펀드'를 신규 결성했다. 모태펀드로부터 100억원을 출자받았으며 민간 LP들과 협력해 멀티클로징을 통해 펀드 규모를 확대할 계획이다.,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202512120900053420103451&lcode=00&page=3&svccode=03
15,"IBK벤처, 500억 스케일업펀드 1년만에 소진",,,"IBK벤처투자, 코오롱인베스트먼트",스타트업 코리아 IBKVC-코오롱 2024 펀드,500억원,벤처,ETC,소진,IBK벤처투자가 코오롱인베스트먼트와 컨소시엄으로 결성한 500억원 규모의 '스타트업 코리아 IBKVC-코오롱 2024 펀드'를 1년 만에 모두 소진했다. 또한 올해에도 스타트업코리아펀드 출자를 따내며 925억원 규모 신규 펀드를 결성하는 등 펀드레이징이 활발히 진행 중이다.,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202512121052556200106215&lcode=00&page=3&svccode=03
16,"아이디벤처, 넥스트 유니콘 펀드 닻 올렸다",,"모태펀드, 김은섭 대표",아이디벤처스,IDV 글로벌 넥스트 유니콘 펀드,"345억원 규모, 내년 상반기 400억원 규모 멀티클로징 예정",벤처,"Semiconductor & Industrial, Biotech & Healthcare, ETC",멀티클로징,"아이디벤처스가 모태펀드 출자를 기반으로 'IDV 글로벌 넥스트 유니콘 펀드'를 345억원 규모로 신규 결성했으며, 내년 상반기 400억원 이상 규모로 멀티클로징을 추진 중이다. 이 펀드는 한국벤처투자의 2025년 2차 넥스트 유니콘 프로젝트 딥테크 분야 출자사업 선정에 따른 것이다.",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202512121146266000109650&lcode=00&page=3&svccode=03
17,"[LP Radar]VC출자 풀린 수출입은행, 내년 '첫 콘테스트'에 관심",,한국수출입은행,"프리미어파트너스, 아주IB투자, 원익투자파트너스, 데일리파트너스, SBI인베스트먼트",,,벤처,ETC,,"한국수출입은행이 벤처 출자 금지 규제가 해제되어 내년부터 벤처투자조합 및 신기술금융조합에 출자가 가능해질 전망이다. 출자 방식은 내년 하반기 첫 콘테스트 방식으로 진행될 가능성이 높으며, 글로벌 진출과 AI, 콘텐츠 분야 등이 출자 대상에 포함될 것으로 예상된다.",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202512160844191400104967&lcode=00&page=1&svccode=03
18,"프리미어파트너스, '1450억' VC펀드 결성",,"신한자산운용, 중소기업중앙회, 교직원공제회",프리미어파트너스,2025 프리미어 혁신성장 투자조합,1450억원,벤처,"ICT & Digitalization, ETC",신규결성,"프리미어파트너스가 1450억원 규모의 '2025 프리미어 혁신성장 투자조합'을 신규 결성한다. 주요 출자자로는 신한자산운용, 중소기업중앙회, 교직원공제회 등이 참여했으며, 혁신융합과 AI 트랜스포메이션을 중심으로 투자할 계획이다.",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202512161457098440104354&lcode=00&page=1&svccode=03
19,"[LP Radar]VC출자 풀린 수출입은행, 내년 '첫 콘테스트'에 관심",,한국수출입은행,"프리미어파트너스, 아주IB투자, 원익투자파트너스, 데일리파트너스, SBI인베스트먼트",,,벤처,ETC,,"한국수출입은행이 벤처 출자 금지 규제가 해제되어 내년부터 벤처투자조합 및 신기술금융조합에 출자가 가능해질 전망이다. 첫 출자는 내년 하반기 정식 콘테스트 방식으로 진행될 가능성이 높으며, 수출입은행과 VC 간 네트워킹이 활발히 이루어지고 있다.",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202512160844191400104967&lcode=00&page=3&svccode=03
20,"프리미어파트너스, '1450억' VC펀드 결성",,"중소기업중앙회, 교직원공제회, 신한자산운용",프리미어파트너스,2025 프리미어 혁신성장 투자조합,1450억원,벤처,"ICT & Digitalization, ETC",신규결성,"프리미어파트너스가 1450억원 규모의 '2025 프리미어 혁신성장 투자조합' VC 펀드를 신규 결성한다. 주요 출자자로 중소기업중앙회, 교직원공제회, 신한자산운용 등이 참여했으며, 혁신융합과 AI 트랜스포메이션을 중심으로 투자할 계획이다.",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202512161457098440104354&lcode=00&page=3&svccode=03
21,"대성창투, 300억 세컨더리펀드 결성…AUM 3600억",,"모태펀드, 무역보험기금, 대성홀딩스",대성창업투자,대성 세컨더리 투자조합 2호,300억원,세컨더리,ETC,신규결성,"대성창업투자가 모태펀드와 무역보험기금, 대성홀딩스가 출자한 300억원 규모의 '대성 세컨더리 투자조합 2호'를 신규 결성했다. 이번 펀드는 국내 중소·중견기업의 기발행 주식 등 구주 인수를 주요 투자 대상으로 하며, 멀티클로징을 통해 펀드 규모를 추가 확대할 계획이다.",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202512161534040200109694&lcode=00&page=2&svccode=03
22,"퀀텀벤처스, 485억 AI펀드 결성…AUM 3600억 돌파",,"모태펀드, 한국벤처투자, 교직원공제회, 산업은행, 한국통신사업자연합회(KTOA)",퀀텀벤처스코리아,퀀텀-KIF 12호 AI펀드,485억원,벤처,"ICT & Digitalization, Semiconductor & Industrial",신규결성,"퀀텀벤처스코리아가 485억원 규모의 '퀀텀-KIF 12호 AI펀드'를 신규 결성했으며, 모태펀드와 교직원공제회, 산업은행, KTOA 등 주요 기관 LP들의 출자를 받아 목표 금액을 초과 달성했다. 이 펀드는 AI 반도체, 인프라, 자동화 등 실물 기반 AI 기술 기업에 투자할 계획이다.",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202512171434390400102733&lcode=00&page=2&svccode=03
23,"우리벤처, 첫 세컨더리펀드 1490억 최종 클로징",,"한국산업은행, 한국벤처투자, 군인공제회, 농협상호중앙회, 한국통사업자연합회(KTOA), 중소기업중앙회",우리벤처파트너스,우리 2025 세컨더리 펀드,"약 1,490억 원",세컨더리,"ICT & Digitalization, ETC",멀티클로징,"우리벤처파트너스가 한국산업은행 등 다수의 LP 출자를 받아 '우리 2025 세컨더리 펀드'를 약 1,490억 원 규모로 멀티클로징하며 성공적으로 펀드레이징을 마무리했다. 내년부터 본격적인 투자에 나설 계획이며, 추가 펀드레이징도 진행 중이다.",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202512180743440920106667&lcode=00&page=2&svccode=03
24,"토러스파트너스, 170억 루키펀드 결성",,"모태펀드, 제이앤피메디",토러스파트너스,토러스메드텍투자조합,170억원,벤처,Biotech & Healthcare,신규결성,"토러스파트너스가 모태펀드 출자를 바탕으로 170억원 규모의 '토러스메드텍투자조합'을 신규 결성했다. 모태펀드 100억원 출자와 함께 LP인 제이앤피메디가 참여했으며, 의료기기 스타트업에 집중 투자할 계획이다.",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202512180751285620102068&lcode=00&page=2&svccode=03
25,"에이벤처스, '565억' AI펀드 결성…AUM 3000억 돌파",,"모태펀드, 한국성장금융, 교직원공제회, 은행권청년창업재단 디캠프, 제이비우리캐피탈, 서초구청, 미래에셋증권",에이벤처스,에이벤처스 AX 유니콘 투자조합,565억원,벤처,ICT & Digitalization,신규결성,"에이벤처스가 565억원 규모의 '에이벤처스 AX 유니콘 투자조합' AI펀드를 약 4개월 만에 결성했다. 모태펀드, 성장금융, 교직원공제회, 디캠프 등 다양한 LP가 참여했으며, 이번 펀드 결성으로 에이벤처스의 AUM은 3000억원을 돌파했다.",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202512181036051640105683&lcode=00&page=2&svccode=03
26,"토러스파트너스, 170억 루키펀드 결성",,"모태펀드, 제이앤피메디, 토러스자산운용",토러스파트너스,토러스메드텍투자조합,170억원,벤처,Biotech & Healthcare,신규결성,"토러스파트너스가 모태펀드 출자를 바탕으로 170억원 규모의 '토러스메드텍투자조합' 루키펀드를 신규 결성했다. 모태펀드 100억원 출자와 함께 제이앤피메디 등 LP가 참여했으며, 의료기기 스타트업에 집중 투자할 계획이다.",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202512180751285620102068&lcode=00&page=3&svccode=03
27,"에이벤처스, '565억' AI펀드 결성…AUM 3000억 돌파",,"모태펀드, 한국성장금융, 교직원공제회, 은행권청년창업재단 디캠프, 제이비우리캐피탈, 서초구청, 미래에셋증권",에이벤처스,에이벤처스 AX 유니콘 투자조합,565억원,벤처,ICT & Digitalization,신규결성,"에이벤처스가 565억원 규모의 '에이벤처스 AX 유니콘 투자조합' AI펀드를 약 4개월 만에 결성하며 AUM 3000억원을 돌파했다. 모태펀드, 성장금융, 교직원공제회 등 주요 LP들이 출자자로 참여했으며, AI 및 딥테크 분야에 집중 투자할 계획이다.",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202512181036051640105683&lcode=00&page=3&svccode=03
28,"우리벤처, 첫 세컨더리펀드 1490억 최종 클로징",,"한국산업은행, 한국벤처투자, 군인공제회, 농협상호중앙회, 한국통사업자연합회(KTOA), 중소기업중앙회",우리벤처파트너스,우리 2025 세컨더리 펀드,"약 1,490억 원",세컨더리,"ICT & Digitalization, ETC",멀티클로징,"우리벤처파트너스가 한국산업은행 등 다수 LP의 출자를 받아 '우리 2025 세컨더리 펀드'를 약 1,490억 원 규모로 멀티클로징하며 펀드레이징을 성공적으로 마무리했다. 이번 펀드는 1차 클로징 후 400억 원 이상 증액되었으며, 내년부터 본격적인 투자를 계획하고 있다.",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202512180743440920106667&lcode=00&page=3&svccode=03
29,"[LP Radar]국민연금 VC 출자, 우리벤처·HB·스톤브릿지 낙점",,국민연금공단,"우리벤처파트너스, HB인베스트먼트, 스톤브릿지벤처스",,"총 1,500억 원",,ETC,위탁운용사 선정,"국민연금공단이 추진한 2025년 국민연금기금 국내 사모투자 위탁운용사 선정 출자사업에서 우리벤처파트너스, HB인베스트먼트, 스톤브릿지벤처스가 최종 GP로 선정되었으며, 총 1,500억 원 규모로 출자사업이 마무리되었다. 당초 4,000억 원 목표 대비 축소된 규모이나, 각 운용사는 자율적으로 출자금을 제안하는 방식으로 진행되었다.",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202512191553265720106543&lcode=00&page=1&svccode=03
30,"오라클벤처·벡터기술투자, 170억 지역펀드 결성",,"모태펀드, 개인투자자, 기관투자자","오라클벤처투자, 벡터기술투자",오라클-벡터지역혁신벤처펀드,170억 원,벤처,ETC,신규결성,오라클벤처투자와 벡터기술투자가 컨소시엄으로 모태펀드 100억 원 출자를 포함해 총 170억 원 규모의 '오라클-벡터지역혁신벤처펀드'를 결성했다. 펀드는 전남과 경북 지역 혁신기업에 투자하며 연내 첫 투자 집행을 목표로 하고 있다.,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202512181124138600104369&lcode=00&page=3&svccode=03
31,"파라투스, '펀딩·투자·회수' 병행 숨가빴던 한 해",,"산업은행, 성장금융, 수출입은행, 군인공제회",파라투스인베스트먼트,파라투스 혁신성장 M&A 2호,약 1900억원,바이아웃,"Semiconductor & Industrial, Biotech & Healthcare, ETC",신규결성,"파라투스인베스트먼트가 2025년 상반기 약 1900억원 규모의 4호 블라인드펀드 '파라투스 혁신성장 M&A 2호'를 산업은행 등 주요 정책·금융기관의 출자를 받아 성공적으로 결성했다. 펀드 결성 후 반년 만에 약 60%를 소진하며 이차전지, 바이오, 소재 등 다양한 섹터에 집중 투자하고 있다.",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202512221409583520102220&lcode=00&page=2&svccode=03
32,"파라투스, '펀딩·투자·회수' 병행 숨가빴던 한 해",,"산업은행, 성장금융, 수출입은행, 군인공제회",파라투스인베스트먼트,파라투스 혁신성장 M&A 2호,약 1900억원,바이아웃,"Semiconductor & Industrial, Biotech & Healthcare, ETC",신규결성,"파라투스인베스트먼트가 2025년 상반기 약 1900억원 규모의 4호 블라인드펀드 '파라투스 혁신성장 M&A 2호'를 산업은행 등 주요 정책·금융기관 출자를 받아 성공적으로 결성했다. 펀드 결성 후 반년 만에 약 60%를 투자 집행하며 이차전지, 바이오, 소재 등 다양한 섹터에 집중 투자하고 있다.",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202512221409583520102220&lcode=00&page=3&svccode=03
33,"에이티넘인베, 메가펀드 빠른 배분…차기 펀딩 '청신호'",,,에이티넘인베스트먼트,에이티넘성장투자조합2023,"약 8,600억 원","벤처, 그로스","Biotech & Healthcare, Consumer Internet & Fintech, ETC",신규결성,"에이티넘인베스트먼트가 2023년 9월 결성한 약 8,600억 원 규모의 '에이티넘성장투자조합2023' 펀드가 2년 6개월 만에 출자금 약 35%를 출자자에게 배분하며 빠른 회수 성과를 보였다. 이로 인해 내년부터 진행할 차기 펀드레이징에 긍정적인 신호를 주고 있다.",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202512230958395040102091&lcode=00&page=2&svccode=03
34,"뮤렉스파트너스, '257억' 딥테크펀드 결성",,한국성장금융투자운용,뮤렉스파트너스,뮤렉스퍼플4호투자조합,총 257억원,벤처,"ICT & Digitalization, Biotech & Healthcare, ETC",신규결성,"뮤렉스파트너스가 한국성장금융투자운용 출자를 바탕으로 '뮤렉스퍼플4호투자조합'을 총 257억원 규모로 신규 결성했다. 이 펀드는 딥테크 분야 초기 기술 스타트업에 집중 투자할 계획이며, 한국성장금융 성장사다리펀드2 딥테크 자율제안 분야 출자사업 위탁운용사로 선정된 계기로 조성되었다.",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202512231135235520101317&lcode=00&page=1&svccode=03
35,"뮤렉스파트너스, '257억' 딥테크펀드 결성",,한국성장금융투자운용,뮤렉스파트너스,뮤렉스퍼플4호투자조합,257억원,벤처,"ICT & Digitalization, ETC",신규결성,"뮤렉스파트너스가 한국성장금융투자운용 출자를 기반으로 257억원 규모의 '뮤렉스퍼플4호투자조합' 딥테크 펀드를 신규 결성했다. 이 펀드는 AI, 합성생물학, 신소재 등 딥테크 분야 초기 기술 스타트업에 집중 투자할 계획이다.",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202512231135235520101317&lcode=00&page=3&svccode=03
36,"BSK인베, 청년펀드 멀티클로징…500억 규모로 키웠다",,"모태펀드, 한국산업은행, 노란우산공제회, 백산, 금융 및 산업계",BSK인베스트먼트,BSK 12호 청년을 위한 청년 창업 투자 조합,500억 원,벤처,"ICT & Digitalization, ETC",멀티클로징,BSK인베스트먼트가 모태펀드 출자를 시작으로 결성한 'BSK 12호 청년을 위한 청년 창업 투자 조합'을 500억 원 규모로 최종 확정했다. 한국산업은행과 노란우산공제회 등 주요 LP를 확보하며 멀티클로징을 마무리했다.,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202512240939118920102238&lcode=00&page=2&svccode=03
37,"[LP Radar]행공 VC 출자, K2·스톤브릿지·우리·인터베스트·코오롱 낙점",,행정공제회,"K2인베스트먼트파트너스, 스톤브릿지벤처스, 우리벤처파트너스, 인터베스트, 코오롱인베스트먼트",,"각 300억 원씩, 총 1500억 원",벤처,ETC,위탁운용사 선정,"행정공제회가 1500억 원 규모의 벤처캐피탈 출자사업에서 K2인베스트먼트파트너스, 스톤브릿지벤처스, 우리벤처파트너스, 인터베스트, 코오롱인베스트먼트를 최종 선정해 각각 300억 원씩 출자하기로 했다. 선정된 운용사들은 현재 대규모 펀드레이징을 진행 중이며, 이번 출자금으로 펀드 결성을 가속화할 전망이다.",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202512241303088200102758&lcode=00&page=2&svccode=03
38,"BSK인베, 청년펀드 멀티클로징…500억 규모로 키웠다",,"모태펀드, 한국산업은행, 노란우산공제회, 백산, 금융 및 산업계",BSK인베스트먼트,BSK 12호 청년을 위한 청년 창업 투자 조합,500억 원,벤처,"ICT & Digitalization, ETC",멀티클로징,"BSK인베스트먼트가 모태펀드 출자를 시작으로 결성한 'BSK 12호 청년을 위한 청년 창업 투자 조합'을 500억 원 규모로 최종 확정하며 멀티클로징을 마무리했다. 주요 LP로는 한국산업은행과 노란우산공제회가 포함되며, 미래전략산업 초기기업에 집중 투자할 계획이다.",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202512240939118920102238&lcode=00&page=3&svccode=03
39,"[LP Radar]행공 VC 출자, K2·스톤브릿지·우리·인터베스트·코오롱 낙점",,행정공제회,"K2인베스트먼트파트너스, 스톤브릿지벤처스, 우리벤처파트너스, 인터베스트, 코오롱인베스트먼트",,"각 300억 원씩, 총 1500억 원",벤처,ETC,위탁운용사 선정,"행정공제회가 2025년 마지막 VC 출자사업에서 K2인베스트먼트파트너스, 스톤브릿지벤처스, 우리벤처파트너스, 인터베스트, 코오롱인베스트먼트를 최종 선정해 각각 300억 원씩 총 1500억 원을 출자하기로 했다. 선정된 운용사들은 모두 대규모 펀드레이징을 진행 중이며, 이번 출자금으로 펀드 결성을 가속화할 전망이다.",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202512241303088200102758&lcode=00&page=3&svccode=03
40,"JB인베, 340억 문화펀드 결성…올해 1000억 펀딩",,"모태펀드, IBK기업은행",JB인베스트먼트,2025 IBK-JB Innoculture 신기술투자조합 2호,약 340억 원,프로젝트,"Interactive Contents & Media, ETC",신규결성,"JB인베스트먼트가 모태펀드 문화계정 출자사업 신기술 분야 GP로 선정되어 모태펀드 200억원 출자를 포함해 약 340억원 규모의 '2025 IBK-JB Innoculture 신기술투자조합 2호'를 신규 결성했다. 주요 LP로 IBK기업은행이 참여했으며, AI 등 신기술이 융합된 문화콘텐츠 및 K-컬처 관련 중소 벤처기업에 투자할 계획이다.",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202512260653448920107413&lcode=00&page=1&svccode=03
41,"ATU파트너스, 성장금융 630억 콘텐츠 전략 펀드 결성",,한국성장금융투자운용,ATU파트너스,,630억원,블라인드 펀드,Interactive Contents & Media,신규결성,"ATU파트너스가 한국성장금융투자운용 출자를 받아 콘텐츠·미디어 산업에 특화한 630억원 규모의 신규 블라인드 펀드를 결성 중이며, 내년 초 클로징 가능성이 있다. 성장금융 트랙에서 콘텐츠 전략을 전면에 내건 드문 사례로 정책자금과 민간 자금이 결합한 전략적 투자 구조다.",https://www.newstopkorea.com/news/articleView.html?idxno=42125
42,"'대형사 도약' 원익투자, 4000억 펀드레이징 마무리",,"한국성장금융, 동우화인켐, 한국산업은행, 한국수출입은행, 중소기업중앙회, 과학기술인공제회",원익투자파트너스,"원익 2025 딥테크 글로벌 동반성장 투자조합, 원익뉴그로쓰2025PEF","약 3,953억 원","벤처, 그로스, 바이아웃","Semiconductor & Industrial, ETC",신규결성,"원익투자파트너스가 벤처투자조합과 사모펀드 2개 조합을 결성하며 총 3,953억 원 규모의 펀드레이징을 마무리했다. 주요 LP로는 한국성장금융, 동우화인켐, 한국산업은행 등이 참여했으며, 초기부터 중견기업까지 다양한 단계의 딥테크 및 신성장 산업에 투자할 계획이다.",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202512290824269540102977&lcode=00&page=2&svccode=03
